"course_id"	"institution_code"	"course_title"	"course_dept"	"course_desc"	"course_topics"
"11"	"UMass Amherst"	"STAT 608: Mathematical Statistics II"	"Statistics"	"This is the second part of a two semester sequence on probability and mathematical statistics. ST607 covered probability, basic statistical modelling, and an introduction to the basic methods of statistical inference with application to mainly one sample problem. In ST608 we pick up some additional probability topics as needed and examine further issues in methods of inference including more on likelihood based methods, optimal methods of inference, more large sample methods, Bayesian inference and decision theoretic approaches. The theory is utilized in addressing problems in nonparametric methods, two and multi-sample problems, and categorial, regression and survival models. As with ST607 this is primarily a theory course emphasizing fundamental concepts and techniques."	"Bayesian inference, categorical models, decision theoretic reasoning, inference methods, large sample methods, likelihood, nonparametric methods, optimal methods of inference, regression models, survival models, two and multi-sample problems"
"12"	"UMass Amherst"	"STAT 697R: Regression"	"Statistics"	"Regression is the most widely used statistical technique. In addition to learning about regression methods this course will also reinforce basic statistical concepts and expose students (for many for the first time) to statistical thinking in a broader context. The primary focus of the course is on the understanding and presentation of regression models and associated methods, data analysis, interpretation of results, statistical computation and model building. Topics covered include simple and multiple linear regression; correlation; the use of dummy variables; residuals and diagnostics; model building/variable selection, regression models and methods in matrix form; an introduction to weighted least squares, regression with correlated errors and nonlinear including binary) regression."	"correlation, data analysis, diagnostics, dummy variables, interpretation of experiments, linear regression, model building, nonlinear regression, regression, regression models, residuals, statistical computation, variable selection, weighted least squares"
"13"	"UMass Amherst"	"STAT 705: Linear Models"	"Statistics"	"Coverage includes i) a brief review of important definitions and results from linear and matrix algebra and then what is assumed to be some new topics (idempotency, generalized inverses, etc.) in linear algebra; ii) Random vectors, multivariate distribution, the multivariate normal, linear and quadratic forms including an introduction to non-central t, chi-square and F distributions; iii) development of basic theory for inferences (estimation, confidence intervals, hypothesis testing, power) for the general linear model with application to both full rank regression and correlation models as well as some treatment of less than full rank models arising in the analysis of variance (one and some two-factor models). The emphasis with applications is on understanding and using the models and on some computational aspects, including understanding the documentation and methods used in some of the computing packages."	"F distributions, analysis of variance, chi-square, confidence intervals, estimation, full rank regression, generalized inverses, hypothesis testing, idempotency, inference methods, linear algebra, linear models, multivariate distribution, multivariate normal, non-central t, power, random vectors"
"14"	"UMass Amherst"	"COMPSCI 501: Formal Language Theory"	"Computer Science"	"Introduction to formal language theory. Topics include finite state languages, context-free languages, the relationship between language classes and formal machine models, the Turing Machine model of computation, theories of computability, resource-bounded models, and NP-completeness."	"NP-completeness, Turing Machine model of computation, computability, context-free languages, finite state languages, formal language theory, formal machine models, language classes, resource-bounded models"
"15"	"UMass Amherst"	"COMPSCI 520: Software Engineering: synthesis and development"	"Computer Science"	"Introduces students to the principal activities involved in developing high-quality software systems in a variety of application domains. Topics include: requirements analysis, formal and informal specification methods, process definition, software design, testing, and risk management. The course will pay particular attention to differences in software development approaches in different contexts."	"process definition, requirements analysis, risk management, software design, software systems, software testing, specification methods"
"16"	"UMass Amherst"	"COMPSCI 521: Advanced Software Engineering: analysis and evaluation"	"Computer Science"	"Software has become ubiquitous in our society. It controls life-critical applications, such as air traffic control and medical devices, and is of central importance in telecommunication and electronic commerce. In this course, we will examine state-of-the-art practices for software testing and analysis to verify software quality. We will initially look at techniques for testing and analyzing sequential programs, and then examine the complexity that arises from distributed programs. The students will be required to complete regular homework assignments and exams, and carry out a group research project extending techniques described in class and/or applying them to new domains."	"complexity, software analysis, software testing"
"17"	"UMass Amherst"	"COMPSCI 590N: Introduction to Numerical Computing with Python"	"Computer Science"	"This course is an introduction to computer programming for numerical computing. The course is based on the computer programming language Python and is suitable for students with no programming or numerical computing background who are interested in taking courses in machine learning, natural language processing, or data science. The course will cover fundamental programming, numerical computing, and numerical linear algebra topics, along with the Python libraries that implement the corresponding data structures and algorithms. The course will include hands-on programming assignments and quizzes. No prior programming experience is required. Familiarity with undergraduate-level probability, statistics and linear algebra is assumed."	"Python, linear algebra, numerical computing"
"18"	"UMass Amherst"	"COMPSCI 645: Database Design and Implementation"	"Computer Science"	"This course covers the design and implementation of traditional relational database systems as well as advanced data management systems. The course will treat fundamental principles of databases such as the relational model, conceptual design, and schema refinement. We will also cover core database implementation issues including storage and indexing, query processing and optimization, and transaction management. Additionally, we will address challenges in modern networked information systems, including data mining, provenance, data stream management, and probabilistic databases."	"conceptual design, data management systems, data mining, data stream management, database implementation, database schema refinement, databases, probabilistic databases, relational databases, relational model"
"19"	"UMass Amherst"	"COMPSCI 646: Information Retrieval"	"Computer Science"	"The course will cover basic and advanced techniques for text-based information systems. Topics covered include retrieval models, indexing and text representation, browsing and query reformulation, data-intensive computing approaches, evaluation, and issues surrounding implementation. The course will include a substantial project such as the implementation of major elements of search engines and applications."	"indexing, query formulation, retrieval models, search engines, text, text representation, text-based information systems"
"20"	"UMass Amherst"	"COMPSCI 683: Artificial Intelligence"	"Computer Science"	"In-depth introduction to Artificial Intelligence focusing on techniques that allow intelligent systems to reason effectively with uncertain information and cope limited computational resources. Topics include: problem-solving using search, heuristic search techniques, constraint satisfaction, local search, abstraction and hierarchical search, resource-bounded search techniques, principles of knowledge representation and reasoning, logical inference, reasoning under uncertainty, belief networks, decision theoretic reasoning, planning under uncertainty using Markov decision processes, multi-agent planning, and computational models of bounded rationality."	"Markov decision processes, abstraction, artificial intelliigence, belief networks, bounded rationality, constraint satisfaction, decision theoretic reasoning, heuristic search techniques, hierarchical search, intelligent systems, knowledge representation, local search, logical inference, multi-agent planning, reasoning, reasoning under uncertainty, resource-bounded search, search-based problem solving"
"21"	"UMass Amherst"	"COMPSCI 688: Probabilistic Graphical Models"	"Computer Science"	"Probabilistic graphical models are an intuitive visual language for describing the structure of joint probability distributions using graphs. They enable the compact representation and manipulation of exponentially large probability distributions, which allows them to efficiently manage the uncertainty and partial observability that commonly occur in real-world problems. As a result, graphical models have become invaluable tools in a wide range of areas from computer vision and sensor networks to natural language processing and computational biology. The aim of this course is to develop the knowledge and skills necessary to effectively design, implement and apply these models to solve real problems. The course will cover (a) Bayesian and Markov networks and their dynamic and relational extensions; (b) exact and approximate inference methods; (c) estimation of both the parameters and structure of graphical models."	"Bayesian networks, Markov networks, computational biology, computer vision, graphical models, inference methods, joint probability distributions, natural language processing, probabilistic graphical models, sensor networks"
"22"	"UMass Amherst"	"COMPSCI 691DD: Research Methods in Empirical Computer Science"	"Computer Science"	"This course introduces graduate students to basic ideas about conducting an ethical personal research program. Students will learn basic methods for activities such as reading technical papers, selecting research topics, devising research questions, planning research, analyzing experimental results, modeling and simulating computational phenomena, and synthesizing broader theories. The course will be structured around three activities: lectures on basic concepts of research strategy and techniques, discussions of technical papers, and preparation and review of written assignments. Significant reading, reviewing, and writing will be required, and students will be expected to participate actively in class discussions."	"analyzing experimental results, ethical personal research program, modeling and simulating computational phenomena, reading technical papers, research planning, research questions, selecting research topics, theory synthesis"
"23"	"UMass Amherst"	"STAT 501: Methods of Applied Statistics"	"Statistics"	"For graduate and upper-level undergraduate students, with focus on practical aspects of statistical methods. Topics include data description and display, probability, estimation and modeling. Includes data analysis using the R software."	"R, data analysis, data description, data representation, estimation, modeling, probability"
"24"	"UMass Amherst"	"STAT 515: Statistics I"	"Statistics"	"This course is a calculus based introduction to probabilistic concepts and their use in statistical modeling. Coverage includes basic axioms of probability, sample spaces, counting rules, conditional probability, independence, random variables (and various associated discrete and continuous distributions), expectation, variance, covariance and correlation, sampling distributions, distributions of transformed variables, order statistics, the law of large numbers and the central limit theorem."	"axioms of probability, calculus-based probability, central limit theorem, conditional probability, counting rules, covariance, distributions, expectation, independence, laws of large numbers, order statistics, random variables, sample spaces, sampling distributions, statistical models, variance"
"25"	"UMass Amherst"	"STAT 516: Statistics II"	"Statistics"	"Overall objective of the course is the development of basic theory and methods for statistical inference. Topics include the central limit theorem, sampling distributions, basic theory of point and interval estimation, hypothesis testing; development in one and two sample problems, linear regression, and some topics out of the one-way analysis of variance."	"analysis of variance, central limit theorem, hypothesis testing, interval estimation, linear regression, one and two-sample problems, point estimation, sampling distributions, statistical inference"
"26"	"UMass Amherst"	"STAT 526: Design of Experiments"	"Statistics"	"An applied statistics course on planning, statistical analysis and interpretation of experiments of various types. Coverage includes factorial designs, randomized blocks, incomplete block designs, nested and crossover designs. Computer analysis of data using the statistical package SAS (no prior SAS experience assumed)."	"SAS, applied statistics, experimental design, factorial designs, incomplete block designs, interpretation of experiments, nested and crossover designs, randomized blocks, statistical analysis"
"27"	"UMass Amherst"	"STAT 605: Probability Theory"	"Statistics"	"The subject matter of probability theory is the mathematical analysis of random events, which are empirical phenomena having some statistical regularity but not deterministic regularity. The theory combines aesthetic beauty, deep results, and the ability to model and to predict the behavior of a wide range of physical systems as well as systems arising in technological applications. In order to properly handle applications involving continuous state spaces, a measure-theoretic treatment of probability is required. The purpose of this course is to present such a treatment, which is based on Kolmogorov’s axiomatic approach. Topics to be covered include the following: Random variables, expectation, independence, laws of large numbers, weak convergence, central limit theorems, and large deviations. The concepts of conditional probability and conditional expectation. Basic properties of certain classes of random processes such as martingales and random walks."	"central limit theorem, conditional expectation, conditional probability, expectation, independence, laws of large numbers, martingales, measure-theoretic treatment of probability, probability, random processes, random variables, random walks, state spaces, weak convergence"
"28"	"UMass Amherst"	"COMPSCI 689: Machine Learning"	"Computer Science"	"Machine learning is the computational study of artificial systems that can adapt to novel situations, discover patterns from data, and improve performance with practice. This course will cover the popular frameworks for learning, including supervised learning, reinforcement learning, and unsupervised learning. The course will provide a state-of-the-art overview of the field, emphasizing the core statistical foundations. Detailed course topics: overview of different learning frameworks such as supervised learning, reinforcement learning, and unsupervised learning; mathematical foundations of statistical estimation; maximum likelihood and maximum a posteriori (MAP) estimation; missing data and expectation maximization (EM); graphical models including mixture models, hidden-Markov models; logistic regression and generalized linear models; maximum entropy and undirected graphical models; nonparametric models including nearest neighbor methods and kernel-based methods; dimensionality reduction methods (PCA and LDA); computational learning theory and VC-dimension; reinforcement learning; state-of-the-art applications including bioinformatics, information retrieval, robotics, sensor networks and vision."	"LDA, VC-dimension, bioinformatics, computational learning theory, dimensionality reduction, expectation maximization, generalized linear models, graphical models, hidden-Markov models, information retrieval, kernel-based methods, logistic regression, machine learning, maximum a posteriori estimation, maximum entropy, maximum likelihood, missing data, mixture models, nearest neighbor search, nonparametric models, principal component analysis, reinforcement learning, robotics, sensor networks, statistical estimation, supervised learning, undirected graphical models, unsupervised learning, vision"
"29"	"UICU SIS"	"LIS 490DB: Introduction to Databases"	"Information Science"	"The course provides students with both theoretical and practical training in good database design. By the end of the course students will create a conceptual data model using entity-relationship diagrams, understand the importance of referential integrity and how to enforce data integrity constraints when creating a database. Students will be proficient in writing basic queries in the structured query language (SQL) and have a general understanding of relational database theory including normalization. [First offered Fall 2009] [4 UG and GR hours]"	"data integrity, data modeling, database design, databases, entity-relationship models, referential integrity"
"30"	"UICU SIS"	"LIS 490IDS: Intro to Data Science"	"Information Science"	"This course is intended to introduce students to modern programs and technologies that are useful for organizing, manipulating, analyzing, and visualizing data. We start with an overview of the R language, which will become the foundation for your work in this class. Then well move on to other useful tools, including working with regular expressions, basic UNIX tools, XML, and SQL. Well also cover supervised and unsupervised statistical learning techniques made possible by recent advances in computing power. This course is very computer-oriented, so its very important to take the time outside of class to learn by doing  to explore the software well be covering in class, and try out new skills on real datasets in the homework assignments. [4 GR hrs]"	"R, SQL, UNIX, XML, data analysis, data manipulation, data science, regular expressions, supervised learning, unsupervised learning, visualization"
"31"	"UICU SIS"	"LIS5 90AD: Sociotechnical Data Analytics"	"Information Science"	"Socio-technical data analytics combines both the technical (mathematical modeling, databases, social networking, and text mining) and social (economic, ethical, policy, and political) aspects of data analytics. Students work through a series of case studies with real data to develop both the theoretical and hands-on experience necessary to fill leadership roles in e-science, eResearch, and big data. [Required course for the Socio-technical Data Analytics Specialization] [First offered Spring 2013] [4 GR hours]"	"big data, data analytics, e-science, eResearch, mathematical models, social aspects of data analytics, social networks, text mining"
"32"	"UICU SIS"	"LIS 590AG: Evidence-Based Discovery"	"Information Science"	"The evidence based discovery course introduces students to theoretical models of discovery and decision making and new informatics tools that support discovery and decision making in practice. Students will explore how massive increases in data (and the accompanying analytical methods) are both challenging and reinforcing what we mean by evidence. Students will also develop the rhetorical and statistical methods necessary to combine evidence, which are particularly important in the information intensive world in which we live. [This is the first of a two-course series and is required for the socio-technical data analytics (SODA) specialization.] [First offered Fall 2013] [4 GR hours]"	"big data, decision making, discovery, evidence, rhetorical methods, socio-technical data analytics, statistical methods"
"33"	"UICU SIS"	"LIS 590DCL: Theory and Practice Data Cleaning"	"Information Science"	"Data and metadata cleaning -- assessing and improving data quality for later analysis and use -- is a crucial part of data curation and analysis. After an overview on how, where and what kind of data quality issues occur in the broader data lifecycle, this course will dive into specific techniques and approaches for checking and improving data quality. Techniques may include approaches from the database community, which has developed a number of techniques for data cleaning using schema-level and instance-level information, or from different scientific communities, which are developing practical tools for data pre-processing and cleaning. The course will include readings on the foundations of data quality and data cleaning, and hands-on projects and exercises to work with existing data cleaning tools, including some programming exercises to develop your own simple tools. Prerequisites: Earlier participation in at least one of the following courses: LIS 452 - Foundations Info Proc in LIS, LIS 490DB - Introduction to Databases, or LIS 531 - Foundations of Data Curation is highly recommended (but not formally required). [2 or 4 GR hours]"	"data cleaning, data pre-processing, data quality, metadata"
"34"	"UICU SIS"	"LIS 590DT: Data Mining"	"Information Science"	"Data mining refers to the process of exploring large datasets with the goal of uncovering interesting patterns. This process usually involves a number of tasks such as data collection, pre-processing, and characterization; model fitting, selection, and evaluation; classification, clustering, and prediction. Although data mining has its roots in database management, it has grown into a discipline that focuses on algorithm design (to ensure computational feasibility) and statistical modeling (to separate the signal from the noise). It draws heavily upon a variety of other disciplines including statistics, machine learning, operations research, and information retrieval. Will cover the major data mining concepts, principles, and techniques that *every information scientist should know about.* Lectures will introduce and discuss the major approaches to data mining; computer lab sessions coupled with assignments will provide hands-on experience with these approaches; term projects offer the opportunity to use data mining in a novel way. Mathematical detail will be left to the students who are so inclined. [First offered Spring 2009] [2 or 4 GR hours]"	"algorithm design, data mining, database management, information retrieval, machine learning, operations research, statistical models"
"35"	"UICU SIS"	"LIS 590MT: Informetrics"	"Information Science"	"Informetrics refers to quantitative measurements of information resources such as bibliographic databases and the world wide web. It has its roots in bibliometrics (e.g., to study patterns of publication, citation, and collaboration behavior) and has a long history of being applied in scientometrics (e.g., to assess scientific productivity). Recently, it has been expanded to include webometrics (e.g., to characterize the structure and growth of the world wide web), and other domain specific-metrics. Lectures and discussion will broadly survey the literature on informetrics and study specific cases in depth, striking a balance between fundamental principles vs. applications that demonstrate the value of informetrics. Computer laboratory sessions and assignments will include the use of datasets and tools to teach how to perform informetric analyses. Term projects offer the opportunity to address novel informetrics-related research questions and can be tailored to the students' own interests. [First offered Fall 2009] [4 GR hour]"	"bibliometrics, informetrics, scientometrics, webometrics"
"36"	"UICU SIS"	"LIS 590NA: Network Analysis"	"Information Science"	"This interdisciplinary course introduces students to fundamental theories, concepts, methods and applications of network analysis. Students learn how to approach network analysis in an informed, systematic and analytically rigorous fashion. At the end of the course, students will be able to design, manage and execute network analysis projects for scholarly and commercial use, and to critically assess network studies. [First offered Fall 2012] [4 GR hours]"	"network analysis"
"37"	"UICU SIS"	"LIS 590TX: Text Mining"	"Information Science"	"This course introduces students to the knowledge discovery process and methods used to mine patterns from a collection of text. We will critically review text mining methods developed in the knowledge discovery and databases, information science, and computational linguistics communities. Students will develop proficiency with modeling text through individual projects. [First offered Spring 2010] [4 GR hours]"	"computational linguistics, databases, knowledge discovery, text, text mining, text models"
"38"	"Rochester"	"CSC 162: The Art of Data Structures"	"Computer Science"	"Computers are universal tools to store and process information.  The storage part is organized as data structures; the processing part is captured as algorithms.  Together, these form the heart of every computer application (in science, government, business, and the arts), on every kind of information (pictures, numbers, sound, and text).  We will study the most fundamental data structures and algorithms as a means of using computers more effectively, and as preparation for more advanced study in CS and related fields. Lab required."	"algorithms, data structures"
"39"	"Rochester"	"CSC4 40: Data Mining"	"Computer Science"	"Fundamental concepts and techniques of data mining, including data attributes, data visualization, data pre-processing, mining frequent patterns, association and correlation, classification methods, and cluster analysis. Advanced topics include outlier detection, stream mining, and social media data mining."	"association, classification, cluster analysis, correlation, data mining, data pre-processing, outlier detection, social media, stream mining, visualization"
"40"	"Rochester"	"CSC 461: Database Systems"	"Computer Science"	"This course presents the fundamental concepts of database design and use. It provides a study of data models, data description languages, and query facilities including relational algebra and SQL, data normalization, transactions and their properties, physical data organization and indexing, security issues and object databases. It also looks at the new trends in databases. The knowledge of the above topics will be applied in the design and implementation of a database application using a target database management system as part of a semester-long group project."	"SQL, data description languages, data modeling, data normalization, database design, databases, indexing, object databases, physical data organization, relational algebra, security"
"41"	"Rochester"	"DSC 462: Computational Introduction to Statistics"	"Data Science"	"This course will cover foundational concepts in probability and statistical inference, with an emphasis on topics of interest to computer scientists. Following an introduction to elementary probability theory, topics will include applications of combinatorics; Markov chains; principles of statistical classification (Bayes' rule, sensitivity and specificity, ROC curves) and random number generation. The theory of statistical estimation and hypothesis testing will be introduced, and applied to one and two sample inference for population means, proportions, variances and correlations. Nonparametric procedures will be discussed. Topics also include statistical modeling (ANOVA, simple and multiple regression), and computational methods. Students will be introduced to the R statistical computing environment."	"Markov chains, R, ROC curves, analysis of variance, classification, combinatorics, computational methods, correlation, estimation, hypothesis testing, non-parametric procedures, one and two-sample problems, probability, random number generation, sensitivity and specificity, statistical inference, statistical models, variance"
"42"	"Rochester"	"DSC 465: Intermediate Statistical and Computational Methods"	"Data Science"	"This course is a continuation of CSC262, covering intermediate statistical methodology and related computational methods, with an emphasis on the R statistical computing environment."	"R, computational methods, statistical methods"
"43"	"Rochester"	"DSC 450: Data Science Practicum"	"Data Science"	"Students are expected to work on a large scale data analysis and mining project. An existing large database is used. Project categories include medical data analysis & social media data analysis. Data mining algorithms are applied to data that is contained in these databases to predict health hazards or social behavior."	"big data, data analysis, data mining, medical data, prediction, social media"
"44"	"Rochester"	"CSC 446: Machine Learning"	"Computer Science"	"Mathematical foundations of classification, regression, and decision making. Perceptron algorithm, logistic regression, and support vector machines. Numerical parameter optimization, including gradient descent and quasi-Newton methods. Expectation Maximization. Hidden Markov models and reinforcement learning. Principal Components Analysis. Learning theory including VC-dimension and PAC learning guarantees."	"principal component analysis, VC-dimension, classification, decision making, expectation maximization, gradient descent methods, hidden-Markov models, learning theory, logistic regression, machine learning, parameter optimization, perceptron algorithm, quasi-Newton methods, regression, reinforcement learning, support vector machines"
"45"	"Rochester"	"CSC 444: Logical Foundations of AI"	"Computer Science"	"The logical foundations of AI including first-order logic, reasoning, knowledge representation, planning, and probabilistic inference."	"artificial intelliigence, first order logic, knowledge representation, planning, probabilistic inference, reasoning"
"46"	"Rochester"	"CSC 447: Natural Language Processing"	"Computer Science"	"An introduction to natural language processing: constructing computer programs that understand natural language. Topics include parsing, semantic analysis, and knowledge representation. CSC 447, a graduate-level course, requires additional readings and assignments."	"knowledge representation, natural language processing, parsing algorithms, semantics"
"47"	"Rochester"	"CSC 448: Statistical Speech & Language Processing"	"Computer Science"	"This course presents the theory and practice behind the recently developed language processing technologies that enable applications such as speech recognition (e.g., speech-driven dictation systems), document search engines (e.g., finding web pages) and automatic machine translation. It deals with techniques of automatically extracting and using structural patterns of language, and does not address the issue of natural language understanding (which is considered in CSC 247/447 on alternate years)."	"machine translation, natural language processing, search engines, speech recognition, structural patterns of language"
"48"	"Rochester"	"CSC 449: Machine Vision"	"Computer Science"	"Introduction to computer vision, including camera models, basic image processing, pattern and object recognition, and elements of human vision. Specific topics include geometric issues, statistical models, Hough transforms, color theory, texture, and optic flow. CSC 449, a graduate-level course, requires additional readings and assignments."	"Hough transforms, color theory, image processing, optic flow, pattern recognition, statistical models, texture, vision"
"49"	"Rochester"	"CSC 458: Parallel and Distributed Systems"	"Computer Science"	"Principles of parallel and distributed systems, and the associated implementation and performance issues. Topics covered will include programming interfaces to parallel and distributed computing, interprocess communication, synchronization, and consistency models, fault tolerance and reliability, distributed process management, distributed file systems, multiprocessor architectures, parallel program optimization, and parallelizing compilers. Students taking this course at the 400 level will be required to complete additional readings and/or assignments."	"consistency models, distributed computing, distributed file systems, distributed process management, distributed systems, fault tolerance and reliability, interprocess communication, multiprocessor architectures, parallel computing, parallel program optimization, parallel systems, parallelizing compilers, performance, synchronization"
"50"	"Rochester"	"CSC 576: Advanced Machine Learning & Optimization"	"Computer Science"	"NO DESCRIPTION"	"machine learning, optimization"
"51"	"Rochester"	"CSP 519: General Linear Approaches to Data Analysis II"	"Psychology"	"NO DESCRIPTION"	"data analysis, linear models"
"52"	"Rochester"	"STT 221W: Sampling Techniques"	"Statistics"	"Simple random, stratified, systematic, and cluster sampling; estimation of the means, proportions, vaiance, and ratios of a finite population. Ratio and regession methods of estimation and the use of auxiliary information. The nonresponse problem. Prerequisite: familiarity with the concepts of expectation, variance, covariance and correlation."	"cluster sampling, correlation, covariance, estimating statistical properties of data, expectation, nonresponse problem, variance"
"53"	"Rochester"	"ECE 440: Introduction to Random Processes"	"Electrical Engineering"	"The goal of this course is to learn how to model, analyze and simulate stochastic systems, found at the core of a number of disciplines in engineering, for example communication systems, stock options pricing and machine learning. This course is divided into five thematic blocks: Introduction, Probability review, Markov chains, Continuous-time Markov chains, and Gaussian, Markov and stationary random processes."	"Gaussian random processes, Markov chains, Markov random processes, Stationary random processes, machine learning, probability, random processes, stochastic systems"
